target_name,target_type,plate,description,latitude_deg,longitude_deg,altitude_m,x_coord_m,y_coord_m,z_coord_m,drift_velocity_x_my,drift_velocity_y_my,drift_velocity_z_my,corner_azimuth_deg,corner_elevation_deg,rcs_hh_dB,rcs_hv_dB,rcs_vh_dB,rcs_vv_dB,delay_s,measurement_date,validity_start_date,validity_stop_date
SAO01-CR,CR,,El Sosneado,-35.07524799999999,-69.50458400000004,1531.6149999992922,1830102.89366828,-4896026.63313475,-3645582.27827414,,,,,,0,0,0,0,0,,,
SAO02-CR,CR,,El Sosneado,-35.086608000000005,-69.51283000000001,1541.948999993503,1829147.62165901,-4895619.20538606,-3646619.82361096,,,,,,0,0,0,0,0,,,
SAO03-CR,CR,,El Sosneado,-35.08680299999997,-69.50445899999998,1534.4919999977574,1829856.36788744,-4895334.5451755,-3646633.24400565,,,,,,0,0,0,0,0,,,
SAO04-CR,CR,,El Sosneado,-35.08623600000001,-69.49605500000003,1525.8800000008196,1830584.58332558,-4895093.36879219,-3646576.8077614,,,,,,0,0,0,0,0,,,
SAO05-CR,CR,,El Sosneado,-35.086898000000005,-69.52066999999994,1548.6890000002459,1828473.17595167,-4895857.28638149,-3646650.03106511,,,,,,0,0,0,0,0,,,
SAO06-CR,CR,,El Sosneado,-35.09251700000002,-69.49219699999999,1524.0300000049174,1830773.29023417,-4894593.40031864,-3647146.06501266,,,,,,0,0,0,0,0,,,
SAO07-CR,CR,,El Sosneado,-35.069039999999994,-69.50822799999999,1534.5350000038743,1829930.91425487,-4896516.05127254,-3645020.14567021,,,,,,0,0,0,0,0,,,
SAO08-CR,CR,,El Sosneado,-35.07513899999999,-69.49619499999996,1523.7139999987558,1830819.89880353,-4895759.07878426,-3645567.83895194,,,,,,0,0,0,0,0,,,
SAO09-CR,CR,,El Sosneado,-35.09922899999996,-69.49606100000003,1526.6650000000373,1830293.95405113,-4894317.77082644,-3647756.98807366,,,,,,0,0,0,0,0,,,
SAO10-CR,CR,,El Sosneado,-35.08083999999998,-69.500478,1529.3390000034124,1830328.21442113,-4895559.69010808,-3646088.79919126,,,,,,0,0,0,0,0,,,
SAO11-CR,CR,,El Sosneado,-35.087452000000006,-69.52856099999995,1556.1730000022799,1827788.66446888,-4896081.69511767,-3646704.63831378,,,,,,0,0,0,0,0,,,
SAO12-CR,CR,,El Sosneado,-35.11600400000002,-69.49227100000003,1519.3150000032037,1830240.53290371,-4893188.3272853,-3649275.61019951,,,,,,0,0,0,0,0,,,
SAO13-CR,CR,,El Sosneado,-35.080699615156284,-69.51649598351115,1546.0420545376837,1828967.42452281,-4896092.38918107,-3646085.65051937,,,,,,0,0,0,0,0,,,
SAO14-CR,CR,,El Sosneado,-35.06328131309109,-69.49561928862224,1521.6606685249135,1831133.32428661,-4896447.24011608,-3644489.70781764,,,,,,0,0,0,0,0,,,
SAO15-CR,CR,,El Sosneado,-35.075553722257986,-69.5213622544046,1549.2186894873157,1828667.30310669,-4896557.57570063,-3645620.15893293,,,,,,0,0,0,0,0,,,
SAO16-CR,CR,,El Sosneado,-35.075353676991085,-69.51265507938899,1540.7046685209498,1829413.43240771,-4896285.04131491,-3645597.09889594,,,,,,0,0,0,0,0,,,
SAO17-CR,CR,,El Sosneado,-35.09294273849851,-69.50882187077886,1540.0776120787486,1829348.09278195,-4895111.26686139,-3647193.94674052,,,,,,0,0,0,0,0,,,
SAO18-CR,CR,,El Sosneado,-35.06930963737863,-69.49195201707083,1519.8600545339286,1831311.56043624,-4895968.67439653,-3645036.2032787,,,,,,0,0,0,0,0,,,
SAO19-CR,CR,,El Sosneado,-35.099082519001534,-69.50464870638278,1535.5509360199794,1829566.17275789,-4894607.61189608,-3647748.79837415,,,,,,0,0,0,0,0,,,
SAO20-CR,CR,,El Sosneado,-35.104837868998565,-69.50058412829262,1531.7116120811552,1829783.6812,-4894130.86906711,-3648269.10300228,,,,,,0,0,0,0,0,,,
SAO21-CR,CR,,El Sosneado,-35.110583689222544,-69.49651205071477,1526.2750798910856,1830001.50878572,-4893653.17729928,-3648787.58686778,,,,,,0,0,0,0,0,,,
SAO22-CR,CR,,El Sosneado,-35.09630961070154,-69.549728247872,1577.129936028272,1825788.29818924,-4896243.22271086,-3647520.94655617,,,,,,0,0,0,0,0,,,
SAO23-CR,CR,,El Sosneado,-35.10221202090093,-69.55413749159783,1579.169079137966,1825280.52089291,-4896032.38645021,-3648058.00386734,,,,,,0,0,0,0,0,,,
SAO24-CR,CR,,El Sosneado,-35.10717667775803,-69.51366839572395,1542.5326894847676,1828616.85318073,-4894417.07284896,-3648487.6498258,,,,,,0,0,0,0,0,,,
SAO25-CR,CR,,El Sosneado,-35.096353901400924,-69.5415297642473,1569.88207913097,1826485.82509391,-4895973.71588884,-3647520.80070969,,,,,,0,0,0,0,0,,,
SAO26-CR,CR,,El Sosneado,-35.09631878092248,-69.53337728570982,1563.1250798972324,1827181.29332763,-4895710.69987433,-3647513.7270282,,,,,,0,0,0,0,0,,,
SAO27-CR,CR,,Centro Espacial Teofilo Tabanera,-31.523147389999934,-64.45286719999999,704.8120000036433,2347093.13584392,-4910383.55443847,-3315843.59045929,,,,,,0,0,0,0,0,,,
SAO28-CR,CR,,Centro Espacial Teofilo Tabanera,-31.517913850306165,-64.45020280703505,700.4020876009017,2347450.71599459,-4910544.75159254,-3315346.56308318,,,,,,0,0,0,0,0,,,
SAO29-CR,CR,,Centro Espacial Teofilo Tabanera,-31.52866137456315,-64.45831553172006,706.5829387456179,2346488.98929151,-4910319.61019928,-3316365.71922298,,,,,,0,0,0,0,0,,,
SAO30-CR,CR,,Manfredi,-31.85648939233663,-63.747622012249096,317.54238724615425,2398620.08723988,-4863411.51625903,-3347093.27999733,,,,,,0,0,0,0,0,,,
SAO31-CR,CR,,El Leoncito,-31.74544236511829,-69.26715181450868,2618.111950817518,1922701.17601148,-5079472.04827732,-3337838.35062544,,,,,,0,0,0,0,0,,,
SAO32-CR,CR,,El Leoncito,-31.748725456088724,-69.27374931310437,2581.049316394143,1922037.30140793,-5079484.70995796,-3338128.5454341,,,,,,0,0,0,0,0,,,
SAO33-CR,CR,,El Leoncito,-31.753144185024812,-69.26730894287999,2611.8766319388524,1922526.22060047,-5079051.91389815,-3338561.57187409,,,,,,0,0,0,0,0,,,
SAO34-CR,CR,,El Leoncito,-31.75653399362513,-69.2741287052918,2574.8537034671754,1921840.48524796,-5079066.17838016,-3338861.82335,,,,,,0,0,0,0,0,,,
SAO35-CR,CR,,El Leoncito,-31.76292306487555,-69.27030469674891,2592.3056395845488,1922052.67571437,-5078602.88582436,-3339473.61188126,,,,,,0,0,0,0,0,,,
SAO36-CR,CR,,El Leoncito,-31.765708348451714,-69.27758799918259,2554.9979508183897,1921338.30536938,-5078665.37895077,-3339716.66045259,,,,,,0,0,0,0,0,,,
SAO37-CR,CR,,El Leoncito,-31.771756818625164,-69.27397786817383,2571.5557034704834,1921538.26996603,-5078227.0893954,-3340295.79930128,,,,,,0,0,0,0,0,,,
SAO38-CR,CR,,El Leoncito,-31.775513065769157,-69.28048664143247,2537.230139698833,1920873.42547134,-5078212.8345574,-3340631.95120136,,,,,,0,0,0,0,0,,,
SAO39-CR,CR,,Puerto Piramides,-42.70194804148938,-64.19500636155874,99.2606899337843,2043580.12853547,-4226408.44871088,-4303294.93442937,,,,,,0,0,0,0,0,,,
SAO40-CR,CR,,Puerto Piramides,-42.707647121126264,-64.20076208412209,101.74977962858975,2042969.46865238,-4226228.77950284,-4303761.86369397,,,,,,0,0,0,0,0,,,
SAO41-CR,CR,,Puerto Piramides,-42.71370294468098,-64.19572288910918,98.74880658555776,2043141.56751181,-4225636.28489377,-4304254.1455242,,,,,,0,0,0,0,0,,,
SAO42-CR,CR,,Puerto Piramides,-42.71359995039969,-64.20567489297211,97.07034208998084,2042410.40438172,-4225996.98259465,-4304244.60027368,,,,,,0,0,0,0,0,,,
SAO43-CR,CR,,Puerto Piramides,-42.71342315729372,-64.21460057028405,101.47807461582124,2041759.24742341,-4226330.0149437,-4304233.15978643,,,,,,0,0,0,0,0,,,
